FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths,Confirmed
34027,Morris County,NJ,88.1,389368.0,240,60261
01039,Covington County,AL,47.2,28887.0,37,3048
21127,Lawrence County,KY,59.5,11681.0,26,1646
06071,San Bernardino County,CA,70.2,1610447.0,1886,258022
20053,Ellsworth County,KS,65.3,4985.0,1,508
06107,Tulare County,CA,68.4,324089.0,354,59757
20147,Phillips County,KS,54.0,4068.0,2,343
48427,Starr County,TX,94.1,43537.0,29,8858
37133,Onslow County,NC,75.7,149343.0,110,25459
19165,Shelby County,IA,71.9,8882.0,8,707
40101,Muskogee County,OK,63.6,51394.0,74,6915
39163,Vinton County,OH,47.5,10245.0,10,1036
21137,Lincoln County,KY,50.3,18735.0,33,2579
37135,Orange County,NC,88.6,119925.0,29,19513
24009,Calvert County,MD,80.4,71215.0,48,5051
51163,Rockbridge County,VA,53.0,18703.0,11,1279
18089,Lake County,IN,68.9,372865.0,515,33094
31183,Wheeler County,NE,37.9,633.0,2,30
39017,Butler County,OH,67.0,293993.0,215,35881
42009,Bedford County,PA,47.0,38720.0,55,2748
55129,Washburn County,WI,74.1,12758.0,13,1324
21043,Carter County,KY,59.4,20830.0,33,4093
18173,Warrick County,IN,75.1,48228.0,38,8615
08019,Clear Creek County,CO,54.0,8238.0,5,794
19079,Hamilton County,IA,75.9,11411.0,15,867
08083,Montezuma County,CO,81.4,20524.0,29,2455
42083,McKean County,PA,58.7,32567.0,38,2366
19181,Warren County,IA,71.0,38790.0,25,3953
51103,Lancaster County,VA,69.3,8963.0,9,840
40141,Tillman County,OK,62.1,5574.0,10,516
54087,Roane County,WV,56.1,10907.0,12,1601
33005,Cheshire County,NH,71.7,62566.0,46,7592
17019,Champaign County,IL,71.4,170397.0,72,36581
47055,Giles County,TN,48.5,23330.0,50,3580
19099,Jasper County,IA,69.7,28955.0,21,2477
39049,Franklin County,OH,74.5,1011349.0,508,111405
27053,Hennepin County,MN,83.7,989707.0,469,137505
16007,Bear Lake County,ID,60.5,4478.0,1,242
20127,Morris County,KS,64.6,4453.0,7,602
55119,Taylor County,WI,43.6,15593.0,12,1297
21109,Jackson County,KY,45.5,10337.0,24,1404
51640,Galax city,VA,47.2,4851.0,10,1123
22105,Tangipahoa Parish,LA,58.0,101940.0,84,14673
39087,Lawrence County,OH,59.9,46614.0,60,7994
51800,Suffolk city,VA,63.7,70152.0,52,8732
18029,Dearborn County,IN,76.8,38619.0,34,4504
48503,Young County,TX,53.5,13749.0,21,1123
27143,Sibley County,MN,58.7,11450.0,6,972
48299,Llano County,TX,60.1,18499.0,13,1334
38037,Grant County,ND,28.7,1809.0,2,96
08055,Huerfano County,CO,62.5,5787.0,11,683
39171,Williams County,OH,54.7,28386.0,26,2478
48089,Colorado County,TX,65.7,16553.0,10,1267
21239,Woodford County,KY,76.7,20902.0,16,3690
72007,Aguas Buenas Municipio,PR,83.5,20374.0,0,4357
01127,Walker County,AL,58.7,49388.0,65,7575
17045,Edgar County,IL,58.9,13694.0,8,2185
22077,Pointe Coupee Parish,LA,66.2,17084.0,8,2885
17079,Jasper County,IL,52.8,7381.0,10,891
21203,Rockcastle County,KY,48.6,13155.0,18,1814
36105,Sullivan County,NY,71.7,59574.0,30,8602
22011,Beauregard Parish,LA,45.7,28174.0,13,3759
19183,Washington County,IA,69.1,16597.0,12,1735
41007,Clatsop County,OR,76.3,32730.0,18,2788
25021,Norfolk County,MA,87.1,560181.0,392,67011
08065,Lake County,CO,68.4,6521.0,0,782
19191,Winneshiek County,IA,70.1,16285.0,7,1125
36107,Tioga County,NY,70.6,38260.0,8,4675
27091,Martin County,MN,66.7,15368.0,13,1702
51047,Culpeper County,VA,59.5,39586.0,61,4270
42067,Juniata County,PA,50.5,19221.0,36,1241
56003,Big Horn County,WY,49.4,8895.0,5,621
21157,Marshall County,KY,64.8,24726.0,32,3382
56045,Weston County,WY,46.3,5512.0,6,485
51019,Bedford County,VA,53.5,63465.0,72,7379
08063,Kit Carson County,CO,49.3,5312.0,8,442
31017,Brown County,NE,45.3,2318.0,1,148
25013,Hampden County,MA,76.0,366882.0,414,61504
42123,Warren County,PA,58.5,31628.0,38,2513
17095,Knox County,IL,69.4,39785.0,36,5234
21019,Boyd County,KY,58.9,36764.0,54,8121
21217,Taylor County,KY,58.4,19994.0,29,3835
17155,Putnam County,IL,66.9,4596.0,3,469
48017,Bailey County,TX,52.4,4846.0,9,445
40039,Custer County,OK,59.4,21817.0,37,2639
24011,Caroline County,MD,69.1,25531.0,24,2131
35013,Dona Ana County,NM,87.9,165267.0,244,28463
46101,Moody County,SD,61.7,4831.0,3,497
50005,Caledonia County,VT,40.7,24255.0,10,2980
40071,Kay County,OK,53.8,32688.0,45,4526
17039,De Witt County,IL,62.8,12346.0,8,1831
08119,Teller County,CO,62.0,21098.0,8,1898
55123,Vernon County,WI,67.4,22811.0,29,2638
36057,Montgomery County,NY,80.6,37941.0,33,4891
05139,Union County,AR,60.7,29416.0,31,3438
48111,Dallam County,TX,63.1,4962.0,9,404
18009,Blackford County,IN,57.9,9231.0,20,885
22019,Calcasieu Parish,LA,53.4,152680.0,78,23130
72093,Maricao Municipio,PR,73.3,4468.0,0,899
04017,Navajo County,AZ,87.4,81804.0,168,15049
17091,Kankakee County,IL,62.2,85161.0,81,9466
31043,Dakota County,NE,84.4,14192.0,5,1773
20143,Ottawa County,KS,54.3,4456.0,9,368
23001,Androscoggin County,ME,81.8,84964.0,136,9193
21081,Grant County,KY,62.2,18496.0,27,2812
